,Tweet
0, received an email saying all atm withdrawals at hdfc would be Appreciate the support Thank
1, the ATM at Mumbai has been out of service for months fix it now at least
2, in your ATM at
3, RT Thanks to mgmt mkng exchnge n dpst process vry smooth at Vaishali Grt people dealing tha
4, ATMs at Navi Mumbai not of
5, Thanks i have got the mail from the payzapp team
6, Not allowed to withdraw balance from my Your Surendranagar branch is citing some
7, receiving calls frm Delhi for CVV pls take action
8, RT will there be new notes Halasuru Branch
9, my account is and mobile
10, Withdrawal from my own requires an ID proof is a photocopy of the proof for bank
11, still no reply
12, because of your incorrect i m charged late getting harrassing reminders and will be charged a hefty
13, Why Are You Harassing People Like And Committing Contempt Of Stop This Nonsense
14, seriously unacceptable the kind of revert I got on the I want an immediate action else cancel my card
15, i just want information on ur offer regalia first n why do u need my
16, kindly provide some additional teller to ur EPIP only teller and big Manager is rude with cust
17, will ATMs be operational from
18, while at also some drinking water for the long Q
19, We waited for new currency till had to return without any support from U
20, Absolutely Thank you
21, when will ATMs Pocket no cash need to withdraw
22, None of the ATM have cash in the
23, the point of changing ATM password in midst of a tr
24, know the account but it is attached to my mobile
25, Amazing functioning Smooth operations that too with a smile
26, incessant calls from customer care for a slight delay in credit card despite mentioning the Shame on you
27, RT Thank you I went Mulund East branch very feel good experience they serve tea water chair
28, been response n classic customer gets this kind of expected this hdfc
29, please stop spamming my phone n email asap thanx
30, Does anyone respond Why no cash in ATMs at Jogeshwari East Branch in Mumbai
31, Pl keep bank open from to for Thursday n Friday n on Saturday full
32, if such is your service I am not going to use I am glad blue dart deliver the
33, HDFC has got very poor online insurance A pain for Should be
34, I know you but common sense to have two different queues for withdrwl n dep at Hinjawadi br
35, I have been trying to get in touch with your customer care since Please let me know who will address my
36, Even has stopped giving only allowing deposits for the day
37, your ATM servers are down in This is just ten mins after ATM was loaded with kindly see
38, U guys are most systematic so is JnK
39, tired of calling Helpline people no Help provided instead asking to call someone and give them money instead offree service
40, I be responsible for any misuse of the card as thi
41, Big thanks to HDFC staff at Seen Managing supe
42, its happening at various branches across Delhi and Gurgaon
43, when my account is KYC am i supposed to submit ID proof to deposit cash into self account Did RBI mandates
44, thanks for your but I take any complaint number from you
45, Superb job by d team FC road Lalit Happy to see d way they were responding to
46, I didnt get any
47, ICICI Bank takes customer friendly steps while give a Best
48, People are paying Rs to stand in que and get a customers like us in cleanup scheme
49, a pretty satisfied HDFC Was just expressing my views on the volumes being witnessed
50, How much time it takes to get credit card application approved Application Number
51, RT Your staff of Ahura Branch Andheri is super lethargic completely Need justic
52, Dena bank took the initiative of a mobile van to help customers deposit Please follow the
53, hope you do this in all your
54, Complain Registered twice debit for single transcation but nothing updates on
55, Dear You have no money to dispose at your Sec branch in Any particular reason considering the present
56, perhaps only about itself and its profits
57, it has been one working day and again HDFC failed to matter of great shame share banking ombudsman
58, Hdfc noida sector entry is banned at pm against government orders
59, hie to close and deactivate your tell I want to use hdfc bank account
60, your pos card swiping machines failing at many locations in today at bpcl petrol bunk at thumkunta secunderabad
61, Silly me
62, Money debited Aug Complain date Sept Compalin
63, hahaha as expected I have ne query just d remark of institute brnch is
64, I have shared all the details in the check
65, cc can I pay my credit card bills in cash using old notes at your
66, the kind of care we common people get is that we are standing since hr in a queue but your atm have single note
67, standard chartered saying exchange limit is till dec is it true
68, while tens of hundreds wait outside for cash Monish Garg sneaks privileged folk into deer park branch
69, till what time branches are open Noida branch started saying open till only go home
70, RT Absolutely Thank you
71, Bopal is a place in confuse it with
72, Just what sort of people do u they have basic training or sense of dealing with Tht teller actd worse
73, Is there an ATM in Madurai with
74, Please set up an ATM in Durgapur start from Great congestion and queue
75, i send mail on that contains my mail id and phone i already mail u on same mail
76, Pls look into the issue
77, which branches in have operational Plz update
78, I just received my credit card and it turned out to be a Diners Club I do not want I want a
79, Good to see proper arrangements made by MiraRoad ShantiPark branch manager and Staff was caring and sweet
80, nt sure wrong wid you
81, HDFC is proving itself as the worst bank it cannot solve a simple issue for one month
82, Thanks for the Got the lower denominations as
83, can one submit just printouts of demat
84, You just
85, are you providing cash exchange facility to your customers tomorrow on
86, will the bank work on even though it is second To facilitate money
87, RT thanks for the feedback will shift my account from HDFC
88, Hi ATM is still not working Please do something quick I have checked ATM noida sector
89, customers who hv bnkng business with Let others
90, Please extend hours of operation when people start flooding over exchanging Small Effort Many gains
91, Hello Why all your ATMs closed today at were to dispense new notes from
92, wasnt happy with their Times like these require extra I dont get the problem in depositing
93, no response of bank team post approval of wheeler loan application Cust ID
94, Not got
95, my CC has expired and I shud have been sent a new one not been
96, Will HDFC bank branches be open on If what are the
97, Went personally collect upgraded creditcard as delivery timing is to they refused handover
98, Bugging people through phone mail for credit cards loans is all you How abt making some cash available ATMs
99, Palm Branch People in Agony Counters Breakout Zone
100, you are doing This is technical Your employees doing great
101, I want to bring to your attention that I am getting threatening calls from the Is it
102, Recd a call claiming to be from HDFC for Debit Card verification how do i report this call and provide details
103, to change my ATM I visited app seems to be easiest
104, NO REPLY RECEIVED TILL WHERE IS HDFC
105, no complaint has been raised as everyone is saying v
106, Wadgaonshri ATM no still not filled with money and today is
107, need imidiate bank is violating RBI guidlines and harashing customers
108, I have this worthless Snapdeal HDFC Credit Card of Worthless any transaction I do cannot be converted to EMI
109, bank staff helping customers distributing deposit slips etc rather than speading ch
110, looks like they r using Chinese ATM shit always either out of money or broken
111, Have about Saver Facility Can You Arrange a Call Or
112, Post which I received a call understood the Said they would call back post speaking to their No call since
113, when the branches open today
114, This is so close my account immediately stop sending me msgs of negative balance
115, Will you be issuing new notes in place of the old ones starting November
116, months ago HDFC bank had debited amount from my and now same thing happen again
117, Yes in shahdara metro station ATM start working from am yesterday while Rohtas Nagar branch accpt hdfc only
118, Whitefield branch pls rd news see senior citizen died due stand in queue in hot sun
119, my complain reference number is Looking forward to hear
