,Tweet
0, the papers on web portals like readwhere are easy to But epaper opens separate windows easy to read
1, very good organised work by Mr Shashi and staff as well as Kalpesh Keep it Cheers
2, Service manager claims that account holders cannot exchange cash be
3, providing all required thank Pleasure being your Cheers and keep it up
4, First hand exp as a customer in have moved meter in te Staff of extremely
5, Thanks for such a wonderful Thanks to all of your employees
6, Standing in queue for last hours to get Cheque As promised no different Who to complain
7, Sorry arrogant No People are
8, absolutely u all r doing great Thank u
9, I met manager level staff at branch who I do not want to but highly unprofessional
10, Thank you Although it took me two hours to get in the but I got rupee notes from the gonna
11, mayur vihar phase i branch opened at in delhi only counters stood for
12, so you blocked my mentions so I cannot tweet my experience
13, Thanks for finally bringing this much needed Great
14, but employee are telling him that Id is already used by another
15, From yesterday till now I have made to calls to call centre but still problem is note getting resolved
16, dont make promises if u fulfill the a legit company not a kindergarten
17, I do criticize him for his With him for the actions against there was a man and few lady at your
18, I went to almost ATMs of Kotak not a single one is
19, Kotak bank is very fraud deducting balance without any reason please open account in Kotak
20, RT ATMs of and give you option to chose your own Try locating your nearest
21, Thanx for letting me know dat ur bank do not entertain opening small business bank accounts
22, your ATMs have not opened for a single day branch says they dnt knk kab khulega Malad west link road
23, Thnx for revert Not my point of view and how Kotak expand My contact is
24, farad bank
25, You r doing the right They deserve your
26, Only to customer attended and cash finished the van brought only rupee service Vikaspuri Delhi
27, great dunno which branch is Standing outside dwarka br for last hrs
28, only me was refused for withdrawal from my current Rohini
29, RT My Bank Branch Manager is really nice He requested all high value customers to visit bank after Tuesday
30, deducting money for unnecessary not bothering to update via any support tweaking their own
31, plz help Make those columns accessible of
32, Relationship number Is this reference
33, hey why do you NOT take action on service request complaint and then just send email saying issue is successfully
34, why are u allowing only your bank account holders to withdraw money in ATM in
35, Kotak bank denied exchange Bihar Not a just to sensitize
36, i hope ur branch stop doing
37, shutter down
38, u r banking with the best of the banks in the Try first all digital bank
39, lokhandwala anderi branch making pple wait in a long cue since and not issuing a single
40, had twitted on behalf of my see mails
41, Huge Pathetic Closing the branch at Absolutely no regard for customer conv
42, Pleasant experience withdrawing cash in the Annanagar branch Courteous helpful seating
43, it became so easy to debit hard earned money without user
44, very nice Thane branch khopat is not too freindly
45, today wife at pm visited Bharuch branch hoping it would work till pm but they closed at pm
46, Gave up on having cash in your ATMs Not one opened in the last days Can I levy penalty charge on you guys
47, Exchange only for one hour between pm to pm will cause lot of inconvenience to people
48, Just found out today that pvr offer is subject to mention anything when they were selling it
49, Do you hide all complaint I know there are tools to do My complaints are not hence question
50, i cant as tweets r Plz check my profile it is
51, You guys r rocking Bank staff are our soldiers in this tuff time of fighting Big blow to
52, Go and visit them personally
53, I received a call from Preeti told that adds is not updated she cannot send the wht is this
54, Plastic money usage double Bank customer care giving us nightmare
55, banks have this make fuss about might have wrongly credited it so they can pull
56, just have been informed by branch all my address and everything is wrongly updated can u kindly help me out or call
57, got train in evening need mny to What kind of pathetic arrangement is this
58, ya sure i saw that today and after few days banking ombudsman will ask ul after i file complain against ul
59, he was offering new but my submission is why it was not given before i required
60, if salary not credited in these month than you can deduct the amount in december after informing me
61, sadistic treatment at Tonk Road branch jaipur tday Was asked to write my Decided to close my
62, d brnch mngr Rakesh Singh ds nt knw he tlk ppl a vry arrgnt unrly man
63, standing in kotak porur chennai branch after hr of struggle denied cash because i am not customer of
64, sued in India settled in when the bank launched Credit Card under brand name
65, add to it that is good as long as you have to visit their found their staff to be quite
66, came back Nothing seems to have Limit for Exchange set as Rs Complete Shame on you
67, Appreciate it Thank You are heroes of these
68, your service towards customer is too pls take some serious as i lost total faith in your bank
69, aftr bng in qu ovr hrs I ws dend xchng by ur karkardooma brnc
70, dilemma between fixing broken and building new
71, why does seek customer ID to deposit cash into own No home banking cash Systems poor at Kotak
72, will you get update this you are not calling me or
73, Kotak Bank give the withdrawal form for withdraw
74, your Net Banking page stoped during ticket not IRCTC session was active waiting response from bank
75, File a police case
76, but these were the only ones around which I actually went
77, dear team there is a deduction of Rs Pls let me know the reason Regards Nazim
78, RT Nariman Point branch of managing the rush quite Avoiding separate treatment to privy league to not upset
79, Is this the speed you handle This is how u aim at customer issues Customer
80, Set up appointments for bulk cash says
81, awaiting for response from ur end get solution same on Hope n others r better
82, RT Hi please look into
83, plz tag other tier banks Wat dis partiality
84, just got abused by staff for explaining why I am angry I could not withdraw money
85, RT thank We appreciate all the work your employees are
86, Thank you
87, hey any update as i need this money urgently cant wait any
88, waited at koramangala branch to exchange my helpful staff and excellent im
89, this can be due to no credit and zero balance since aug pls check
90, let us help in nation encourage d mess and let our great PM down
91, Had great experiance Nagpur CA now I get cash just employees are so
92, Big Bug Found on Kotak CRN character limit is not updated for new account Not able to contact customer care
93, One family who stays near have been tirelessly distributing water and collecting the used bottles
94, Kudos to GhatkoparW branch Saw them deal with all type of customers with grace
95, RT stuff is very polite and helping everyone according to their hats off
96, Hassle free awesome management by
97, there is no
98, received call back Commuted call back before yesterday but no call back Pathetic
99, I know why they giving any privileged services to platinum old aged
100, there is no benefit of having Bank Account I receive mail msg showing benefit for being in Privy What a
101, today again ur branch denied to submit your message was not sent
102, thanks to look into this
103, a pain dealin wit CreditCard evn tho m Asked for KYC for a
104, that it may I would like to test it Will let you know what
105, dude out of of your ATMs in the area have their shutters down since the last what the
106, RT Thanks for informing d matter has been taken up with the banks
107, fucking i cant bear the loss becoz of ur mistakes if i knew this i would ve continued with HDFC
108, do you have a definitive timeline for I am closing the account
109, we appreciate work with long extending hours to serve customers and with much patience as needed
110, sorry not counters only one counter that too common for Well done
111, your ATM is not working in Moti Please get it resolved asap
112, u shud follow Bank of America on every dispute raised they ask to submit proof of sale
113, all executive come to us n sir we are making u chutiya for second first time u open
114, Union bank of india staff behavior is very rude after they refused for exchange
115, I have to urgently transfer My registered number is not working so I am Went to such a long queue
116, Prodigious Work at Mahim West BiB Branch Execution By RM
117, RT my wife was thankful for the warm service at Bandra Kotak bank yesterday
118, Open bad mouthing of by staff at Raipur
119, time to Appreciate stand with Bank Employees of our Country for being the main Instruments for
120, In queue since AM out of currency by AM and exchanging only for Kotak customers
121, Excellent management by your hiranandani estate thane Kudos to Very
122, Dear Sir still ATM Shutter is not opened from Plz try to
123, there are no withdrawal slips in Koramangala Do check if you can Long queue
124, left me no choice but to close my account It was good while it Peace out
125, RT What happen
126, borivli west branch long ques no help
127, Hello thank you for keeping my money in the backend and never transferring back to my
128, its been more than months you guys even not taking any step to solve my
129, Visited Cheerful banter among Kotak team doing everything poss to
130, not working at
131, I am not able to send a direct msg to you
132, RT today wife at pm visited Bharuch branch hoping it would work till pm but they c
133, Dear u say thr is enuf went stopped withdrawal at abt next day
134, I hv sent details Take action else I will escalate to the highest Cant take such rudeness from an RM
135, RT Pleasant experience withdrawing cash in the Annanagar branch Courteous helpful seating facil
136, Every months my Bill paid by me online from so how deduct amount from pls clarify
137, When will ATMs start
138, details shared thru Thank
139, but why this is an salary and zero balance account is this a need my money back
140, full day at sector dwarka on day at marg rs kind of PREVILEAGUE COUSTUMER am
141, how to
142, Pls make sure to fill with cash and keep
143, thank We appreciate all the work your employees are
144, is not bothered if refuse because of a problem with Both are
145, counters on a normal day n d same counters on a day when u hv more R u seriously here to help customers
146, RT largest bank gets approval to open first in
147, This is a good move by Will help reduce a bit of They sent it to the wrong person
148, Please confirm Working Hours for tomorrow
149, The bank writes For any queries contact on below mentioned Mumbai Which told is not
150, Expecting nothing less than Hope to see things getting to normal in a
151, Finally got through to the customer care no me it registered complaint
152, no news from kotak nothing is more frustrating then poor customer service and false promises
153, I think will receive call back
154, check all the transition of my account after u will revert me because u deduct my money above then
155, will do
156, i lodged a complaint against and no Its been over a month
157, Naveen Rao and team doing a fine job at Linking Road
158, can the payment due on Kotak c card be paid in cash using old denomination Juhu br unaware of the same so unable to pay
159, Very good customer service alkapuri branch congratulate the team and branch head for
160, RT ATMs have also become functional in Some ATMs are also working
161, sad to see the attitude of the Kotak bank What does a common man
162, waiting for last hour Completely different experience when you take a new loan vs service post
163, RT Was welcomed and asked how can we help Got exchanged curr in Happy and was once
164, when it will be
165, We have not heard any thing from your side on our issue
166, WTF again
167, if u just wanted to fix the U ppl hv made ATM But ur ATM works at
168, Your bank not exchanging the Branch new sanganer road They have currency since yesterday possible
169, got deducted from my account for using not kotak atm for the month of Aug nt a fking small amt to be ignored
170, I am at Vikas Marg Got answer cash has not been loaded since morning and bank is closed earlier than
171, RT Debashish Branch Head Hats off to Cherish to bank with
172, you can close your banking service very pathetic service ever seen
173, Sarat Bose Kol customers in queue being offered other help by Great
174, What kinda sham are you guys Scamming consumers and not even bothering to provide basic level of service
175, it is useless to call your customer service as they will atmost raise a service request and promise a call
176, Please ensure the problem is The service offered by your bank is highly
177, your are still not functional what are people suppose to do in need of
178, u own
179, looking for relevant answer as you people have taken lot of time fr providing solution but unfortunately you
180, sir not open since days
181, contact No Kotak bank is very fraud deducting balance without any reason please open account in Kotak
182, Kotak Bank Branch on Vasna No need for contact Just fix your branches during
183, were days not enough for banks to replenish I have money lying in my account but I still use
184, RT Getting SMSs from banks now branches and ATMs closed branches closed ATMs today and
185, Thanks branch staff members of The peach Sushant Lok C media to note
186, your mobile app keeps crashing on my Moto Trouble as I transact
187, They just asked do you have a kotak And then The aim is not to p
188, poor service of Kotak bank in Allahabad my number is
189, kotak Bank giviing good service when ysbank hdfc n icici closed its atm
190, RT soo upset with this bank ive been a loyal customer and when shit hits the fan they behave like headless chick
191, double transaction bank asking to contact wht if dealer is gas sttn km far on highway
192, worker in this bank
193, u help me to get Of ghatkopar east branch road
194, debited from my salary account without any update yesterday against annual fee for debit
195, are atms functionsl
196, my branch is jmd gurgoan and my contact is which is also registered with my bank account is
197, Closing all accounts with You people are biggest thieves in
198, Why have you people stop taking requests for Any idea as to when be resumed
199, No cash avail indian there shld be suffice cash atleast to
200, Not ur branch but saw on all banks on PIN Marked u as I have seen u r responsive on Twit
201, RT Thank u for such efficient system of handling d currency exchange
202, Poor gal Kotak bank plz help her
203, ATM was dry till now even though it was suppose to be operational as per
204, Bangalore MG Road or any where
205, since yesterday getting messages that banks have made all arrangements
206, Today I get sms from saying those depositing over lakh can call to make going to close my account instead
207, even mind to respond
208, which branch gets the exchange so quick let me know
209, why Banks not issuing token to people standing in long Why Banks want people to stand in Smoothen the process
210, Dear when i opened my jifi receive interest from a wen i deposit cash am charged makes
211, are you still working on my case or any detail no updation on ur
212, Sector Gurgaon brach not yet ATM not yet
213, PLS Kotak Mahindra Bank against Gov order cheating Kotak
214, thank you so much for resolving the issue and special thanks to Sandeep Kumar Singh PAN
215, To whom i didnt receive any mail neither on my registered mail nor on any other
216, why new Service Request dated today when complaint was done on To hide inefficiencies and show a better resolution
217, which branch caused you this inconvenience
218, my Savings account is in Lucknow Main Branch and Current account is at New Delhi
219, kudos to U for a superbly managed experience depositing money Bandra
220, it is very shameful to see that whole management is trying to hide the mistake of one of the officer and suppress the issue
221, RT gave best service exchange Form queue handling person appointed
222, Lets hope it speeds
223, Kotak bank is very fraud bank he is deducting ancestry charges from account please open account in Kotak
224, requires original and photocopy of id for cash deposit in ur
225, Kotak branch at rd kanpur no cash for Hows it
226, it necessary to deposit exchange amount in bank by holder only for current
227, is even going to take cognizance of this or Pathetic handling
228, having fat big balance gt privy league batch by bank bt sadly executive work like they r doing any big favor
229, Thanks for support Yesterday Kotak branch had exchanged My denomination note
230, okay so where you are depositing all your
231, THE TEAM OF KOTAK MAHENDRA BANK THANE KHOPAT ARE DOING GREAT JOB BY MANAGING THE PUBLIC IN EXCHANGING MONEY
232, Why is Kotak App not
233, That is the norm at Worst customer
234, after some hiccups yesterday amazing and fast service at KOTAK NAPEANSEA ROAD
235, does the bank takes so much time to respond
236, As a I am cancelling my CC Sent email asking for cancellation
237, no point givn template staff not upto tk a cue fm across the parel branch
238, Had a good experience at Staff helpful and managing the crowd all with a cheerful
239, in kalyan west maharastra I was there in branch somebody fighting with staff they are trying to exchange
240, why not make bank holiday monday a only deposit accepted day at the help smoothen things from Tuesday
241, noida sec pin code my contact no is
242, Hi I think morning still no call this is your is the way you prioritize ur
243, wt happened to your idiwali iPhone offer for top Where is the list of winners
244, Savings and Current No Many times I have written to Uday also for closer of our both
245, Having an incredibly hard time contacting customer Had to open a twitter account just so that my issue can be
246, Met many who had what seemed like life old illiterate
247, ppl in line from am now telling them distribution will start at
248, can you please let me know why this
249, now I even told you the name of the relevant where is the action got my money yet
250, ever go with such cheating and looting banks who is making food the consumers and looting for using the debit
251, Current train ticket reservation failed because of your poor asking times confirmation for a single transaction
252, Hi please look into
253, I have some enquiries with you before I can invest with you on Possible to have a quick
254, is denying Voter ID card as proof of identity for exchanging Kindly Thanks in
255, Which branch in South mumb u hv cash deposit automatic It can b used to deposit
256, your cbi fbi investigation did highly
257, great arrangement at banks and very cooperative staffs at sec noida Why did atms r not working
258, contact num Kotak bank is very fraud deducting balance without any reason please open account in Kotak
259, sent u the contact details with CRN
260, top Influencers this Have a great weekend Get
261, okay so where you are depositing all your
262, THE TEAM OF KOTAK MAHENDRA BANK THANE KHOPAT ARE DOING GREAT JOB BY MANAGING THE PUBLIC IN EXCHANGING MONEY
263, without informing u guys have deducted approx from my accunt as its a salary and zero balance
264, Is this computerised generated replies
265, now all fine Token system started public not by bank
266, MahavirNagar branch there is line for every Why you have separate counter ONLY for CASH DEPOSITS
267, i paid more and days to reverse my if i pay a day late it takes great customer
268, your team say that go your bank for exchange the money I am not exchange your money its not
269, RT For them customers are not just
270, Job Staff members Lavelle Road Bangalore Branch
271, had asked for a mamager call back received the same
272, and hats off to the staff for keeping their cool inspite of all this effort and extra
273, fine I was being directed to a blank Tried from several Appreciate the prompt service
274, r seeing huge
275, Tomorrow is holiday in KMBL at some Request to ensure banks are open tomorrow in this hour of crisis
276, Getting SMSs from banks now branches and ATMs closed branches closed ATMs today and
277, they main culprit is your IPFunding team who takes days to transfer
278, So impressed with how great the banks have been in helping people deal with all the Personal experience with
279, even at times of capital controls Kotak showed insensitivity by giving pref trtmnt
280, there are several ATMs of closed All their method seems to be failing
281, your call center people are also handicap to solve the case as they also have the answer for
282, I tried asking for CML but no are you sending CML over the
283, No email from except for the automated
284, salute to the kotak team they gave good response and great service thank u branch
285, Versova is only handing out Rs notes which is as good as having no Who will accept When nobody has change only
286, Despite repeated mails my credit card is not
287, A foreign remittance has come in current but inspite of sharing the documents ur people have no interest
288, THE APPERICATION LETTER SHOULD BE GIVEN TO WHOLE STAFF DOING GOOD JOB IN ABSENCE OF BRANCH MANAGER DUE TO HER HEALTH
289, what action initiated
290, Hadapsar Branch awesome job not a single customer standing outside branch unlike neighboring Emp near Withdrawals
291, How Kotak Mahindra bank has replied to a query posted to Indusind
292, could you just DM once in hinjewadi
293, RT No cash boards Hell with
294, worst u people charge for charge for annual debit in r u running prepaid mobile service
295, your staff there is when
296, When branch is broke
297, last time i am asking you send if you do not want to send i shall close my trading account
298, Kotak Mahindra Lok Vihar have declined to xchnge hve
299, Modi is saying deposit your Money in bank is deduction unnecessary charges so who is responsible for Modi Or Bank
300, I m not able to receive my OTP for payment ghanta help
301, Judiciary Trapped with Fake HC Records to Enforce No SC Review
302, RT Looks like is indulging in Black Money Since morning my local branch had no ki
303, Thanks for the helpful We really appreciate you all working till Pm yesterday to help
304, Delighted with the experience at Prahlad nagar Staff was supportive inspire of the stress factor
305, Do you have a branch in If are you accepting of
306, why does seek customer ID to deposit cash into own KYC okayed bank Why Kotak ignoring RBI
307, ur branch at vivek vihar was well managed n work was done without A lot better as compared to
308, why ATM have money to all the ATMs are shutter
