,Tweet
0, we have Ur ATM in our office n today every one was waitin money thr unfortunatly ur guys deposit money
1, branch continues to Check RBI notice vs their Worked from Threa
2, if I am nominating the same person as a mandate holder for why require the same docs the
3, bank not taking deposit after as secular is up to is in icici branch
4, finally today I have withdrawn my application for current is this ur
5, why mismatch in bank opening If a notice from ICICI it be same throughout
6, Why you tag Instead of blaming the govt for smin they No proof reqd if you hv b
7, should ask co to call the customer plz cancel the card or send it by other courier DM
8, contact number
9, and my card got approved on as per data available with your ahmedabad
10, hell with Teach your executives at Devlali Camp branch on how to behave with a woman account
11, your executive called me and suggested to deactivate i safe if emergency to below even i can
12, Unauthorised transaction of done from ICICI account
13, Great service has provided by for exchanging and They are working hard and off days
14, Ur incompetent staff of Chennai Annanaagar VI Main Rd Branch ignorant of basic banking even school kid
15, are fooling customers with useless sms wherein they stop customers enteri
16, its been more than a month still my credit card application is in customer care do not call back
17, still No in your No intention to
18, I hope to have a communication from concerned branch Mgr or It cant end like Thank you
19, lucky
20, no work is being done at West Jyoti Nagar Branch neither they are changing currency nor depositing cash in account
21, As I observed icici bank is givinv worst service among Most of icici atm running out of
22, Is Gurgaon sector not prominent they operating to
23, Bt the team wil do nothing Non sense you guys have U wasted my time I spent in queue and then Ur failure on compliance
24, what it keep wasting maybe you can read this and do
25, response Please look in to the matter
26, Call Nanganallur Branch account holder went all should be in same Spoiling govt name is unacceptable le
27, really frustrating not get any kind of Either you need to resolve this
28, poor administration show continue in your Kharadi Only waight
29, respect all staff in handling ur customer service was pls inform the staffs of the branch
30, i have opened my But i cant login into Your service is as horrible as it always
31, How the hell can you guys just block a debit card out of nowhere happening for the second time
32, your CC pick please look it in the matter have enough balance at that
33, after how many days cash back comes in
34, Dear ICICI bank please mislead people by sending message that ATM are
35, Pl STOP sending useless sms fooling customers when u do not allow custome
36, plz check dm sent the details
37, sir currency exchange service totaly stopped in ur DABRA Branch staff also misbehaving with do the needful
38, do you remember your marketing about privilege Abandoned when required the
39, RT Thanks But I need that much money
40, None of your are working near
41, calls when I request a call back and the staff really helps me and clarifies any doubts that I Thank you once
42, for only few seconds But waiting in queue for four Learn from others Soon u will lose custom
43, you IVR is very unable to reach Customer
