,Tweet
0, Thanks icici bank I got case in your atm and totally bad experience with
1, In Assam all banks are exchanging once If exchanged today refused by Kindly interven
2, danish kunj branch in bhopal is not open till
3, It is very difficult rather impossible
4, No cash in ATMs
5, are doing good A security guard offered water to peo
6, this is not
7, But I am a disabled by both legs was told that u cant deposit cash for online transaction of our other branches by your
8, clean modi from pm or clean
9, RT Sir ATMs not open till today in greater noida west
10, But it says that I register complaint due to incorrect details Contact me plz
11, No in and lack of money of please help
12, thank you for the new note
13, have you notified
14, is your web page loading showing HTTP Server Error
15, response basically sums up our linguistic
16, aappreciate your efforts but you missed on good Pls chk ground reality
17, contact your and cvo
18, plz make it sure that bank can nt use others unsigned for conversion of blac
19, your customer care a If you really Plz call me at which is registered in my kids
20, Premature withdrawal of PPF modified by Finance Ministry on not implementing by ur
21, reply meeee please
22, Best and congratulations SBI
23, in No Cash in Please Sort out
24, issue guidelines sep Q deno n
25, yet SBI Bamhani Mandla not opened
26, RT The service of is completely an They need miles to go as far as d services of pvt banks are conce
27, SBI main branch Hisar not giving new currency and give excuse new currency not reached to
28, send mail to no answer
29, crisis like situation and banks nt mere extension of working hrs will not pay
30, I am struck on the same page for few minutes then website suggests me to Spoke to your Customer care but no use
31, i have been standing at the same spot to exchange just one rupee You have reached a new level of inefficiency
32, the SBI online is Cannot use it for wallets and other The time we need the service most is gone
33, hi sir proved ATM facility under branch now that time branch provider ATM are to install in main
34, branch counter has been closed at pm
35, can i use my sbi debit card in my and all the problems is only in sbi no exchange
36, SBI check ATM forget this
37, SBI ATM hours closed in Wow what great
38, NCR Corporation bags largest order from over machines via
39, I have found that my PPO is with CPPC chennai since Oct Could you please direct CPPC chennai to fwd to my
40, Cashiers write numbers on currency notes plz instruct not to do so
41, All the Atms in Puri Nr Jagannath Temple are closed
42, what about no cash in your
43, Why NetBanking is Denied do any transaction want to book my t
44, u wer just waiting for these instances to
45, Why not services to customers in their language is ur an
46, In Jalvihar road GURUGRAM your ATM not working for please send
47, is it too many rumors spread by this guy or
48, I have given you now the bank should work with the Police and nab such to secure customers
49, Please get the working by Monday at the Else it will be a total
50, I have tried in internet banking as well as on signed letter to branch over not done banking
51, Sir plz open following link
