,Tweet,Sentiment
0, including all the accounts,miscellaneous
1, RT means u know that u will not revert again I have to ping worrest service,displeasure
2, We have checked and it is working fine at the case the issue you can share,miscellaneous
3, Bloody Rascals and Frauds,displeasure
4, Money depositing machine kept best known to them,displeasure
5, plz fine tune the precise information about cash deposit machines in google result,miscellaneous
6, what type of thing is itFrom Till date axisbank jamuria branch havnt exchnge ny money,displeasure
7, due to heavy traffic on withdrawals you may find some of our,miscellaneous
8, have been rcv confidential Demat stmts for some client of way to care about,compliment
9, Your application team says they have submitted to bank and bank says they have no Who is,displeasure
10, sorry for the Please share the,displeasure
11, When will you reduce the HL interest Now that other banks have Repo rate was cut by RBI last month,miscellaneous
12, In this of not okay to differentiate btw Privileged and Prime type,displeasure
13, I have already generate the complain So pls do the I have already try this link for,displeasure
14, today i visited your malviya nagar branch newdelhi for exchange of notes for but manager denied and said pan used,displeasure
15, thank you for bringing this to our Please share the exact location of,miscellaneous
16, No cash in any When we can expect money,displeasure
17, still Same issue showing invalid credentials Please can you fix the,displeasure
18, Tnks fr recharging using Axis saving voucher worth frm Login to,miscellaneous
19, yeah r the most customer I have been using for more than Try,compliment
20, i have any complaint number with me,miscellaneous
21, The bank is depriving us from bread and,displeasure
22, dated,miscellaneous
23, could you please elaborate your concerns at for us to assist,miscellaneous
24, Yes sir we do understand want to make this We will have this error rectified on urgent,miscellaneous
25, RT Axis bank CDM machines in Karnataka has the same but have Kan,miscellaneous
26, Ur ATM at Dhamankar Naka PIN of service till know about afterwards,displeasure
27, sorry for the Please share the exact location,miscellaneous
28, LaxmiBazar People are suffering bcz you dont have experienced guards and support,displeasure
29, Atleast start ATM,displeasure
30, dint response,displeasure
31, ATMs are out of service in guwahati please let us know when gonna,displeasure
32, Ah Then it doesnt help I use Debit cards for payments at,displeasure
33, its perfectly understandable that youre very upset about whats Please share the,miscellaneous
34, Should we commit suicide,displeasure
35, Hi What do u want to Sorry but ask from customer services helpline number,miscellaneous
36, in order to exchange or deposit the old currency please visit,miscellaneous
37, the link is not,miscellaneous
38, Why am I unable to use my debit card at such a crucial care say a technical Fix it,displeasure
39, how long will it take for the to,displeasure
40, science city branch in ahmedabad,miscellaneous
41, sorry you had this experience and we want to,miscellaneous
42, due to heavy traffic on withdrawals you may find some of,miscellaneous
43, waited for hours and at the end no cash in the what is going,displeasure
44, Axis Bank is working To locate the nearest Axis Bank please,miscellaneous
45, Your max ATM still As per RBI guidelines today all ATM should run today,displeasure
46, the messages are to keep all our customers informed regarding the current,miscellaneous
47, recd the email with attachment U guys r hilarious Definitely need to report to ur MD,displeasure
48, want to become your team to contact but get any response from hr side last months disappointed,displeasure
49, for further assistance in this you can call us on our toll free number on,miscellaneous
50, I want to know the local branches in Help out a pal here,miscellaneous
51, if they we have to deal with about only,miscellaneous
52, please write to us at for us to assist,miscellaneous
53, KALINA RAC WORST PEOPLE,displeasure
54, please share the details at for us to assist,miscellaneous
55, what is the minimum income for getting a credit,miscellaneous
56, complaining is Reply says recent transaction history is Obviously there is no failed,miscellaneous
57, axis bank Pitampura denying to take all banks are advised to opem till,miscellaneous
58, and not going to pay interest amount,displeasure
59, RT Hope you rectify this problem by providing option at the,displeasure
60, Deposited old notes wid very ease racecourse branch Still ATMs r nt wrking Cash Machine may reduce burden,miscellaneous
61, Axis bank is unable to take a request fir replace debit card My debit card is block from last Poor customer supp,displeasure
62, were sorry about the bad experience you had at our Thanks for,miscellaneous
63, please visit to know more about,miscellaneous
64, RT it should not take weeks for a corp debit master card and irresponsible and acct manager offers no suppor,displeasure
65, we apologise for any inconvenience caused to Thanks for bringing this to our,miscellaneous
66, sonepat branch people r waiting outside on road no cooperation by staff giving priorities to their corporate coustmers,displeasure
67, here it is,miscellaneous
68, please share the details at for us to assist,miscellaneous
69, and more than people are standing in the que at the varachha road,miscellaneous
70, Finally got application reference after multiple calls to multiple Application,miscellaneous
71, he he its business as most axis bank atms are deserted and non functional even on normal days,displeasure
72, Stuck abroad with pathetic Not responding via call support and email support keep on sending generic reply,displeasure
73, getting promotional text messages since a couple of days I even have an account in your Can you,miscellaneous
74, i try receive call,miscellaneous
