,Tweet
0, including all the accounts
1, RT means u know that u will not revert again I have to ping worrest service
2, We have checked and it is working fine at the case the issue you can share
3, Bloody Rascals and Frauds
4, Money depositing machine kept best known to them
5, plz fine tune the precise information about cash deposit machines in google result
6, what type of thing is itFrom Till date axisbank jamuria branch havnt exchnge ny money
7, due to heavy traffic on withdrawals you may find some of our
8, have been rcv confidential Demat stmts for some client of way to care about
9, Your application team says they have submitted to bank and bank says they have no Who is
10, sorry for the Please share the
11, When will you reduce the HL interest Now that other banks have Repo rate was cut by RBI last month
12, In this of not okay to differentiate btw Privileged and Prime type
13, I have already generate the complain So pls do the I have already try this link for
14, today i visited your malviya nagar branch newdelhi for exchange of notes for but manager denied and said pan used
15, thank you for bringing this to our Please share the exact location of
16, No cash in any When we can expect money
17, still Same issue showing invalid credentials Please can you fix the
18, Tnks fr recharging using Axis saving voucher worth frm Login to
19, yeah r the most customer I have been using for more than Try
20, i have any complaint number with me
21, The bank is depriving us from bread and
22, dated
23, could you please elaborate your concerns at for us to assist
24, Yes sir we do understand want to make this We will have this error rectified on urgent
25, RT Axis bank CDM machines in Karnataka has the same but have Kan
26, Ur ATM at Dhamankar Naka PIN of service till know about afterwards
27, sorry for the Please share the exact location
28, LaxmiBazar People are suffering bcz you dont have experienced guards and support
29, Atleast start ATM
30, dint response
31, ATMs are out of service in guwahati please let us know when gonna
32, Ah Then it doesnt help I use Debit cards for payments at
33, its perfectly understandable that youre very upset about whats Please share the
34, Should we commit suicide
35, Hi What do u want to Sorry but ask from customer services helpline number
36, in order to exchange or deposit the old currency please visit
37, the link is not
38, Why am I unable to use my debit card at such a crucial care say a technical Fix it
39, how long will it take for the to
40, science city branch in ahmedabad
41, sorry you had this experience and we want to
42, due to heavy traffic on withdrawals you may find some of
43, waited for hours and at the end no cash in the what is going
44, Axis Bank is working To locate the nearest Axis Bank please
45, Your max ATM still As per RBI guidelines today all ATM should run today
46, the messages are to keep all our customers informed regarding the current
47, recd the email with attachment U guys r hilarious Definitely need to report to ur MD
48, want to become your team to contact but get any response from hr side last months disappointed
49, for further assistance in this you can call us on our toll free number on
50, I want to know the local branches in Help out a pal here
51, if they we have to deal with about only
52, please write to us at for us to assist
53, KALINA RAC WORST PEOPLE
54, please share the details at for us to assist
55, what is the minimum income for getting a credit
56, complaining is Reply says recent transaction history is Obviously there is no failed
57, axis bank Pitampura denying to take all banks are advised to opem till
58, and not going to pay interest amount
59, RT Hope you rectify this problem by providing option at the
60, Deposited old notes wid very ease racecourse branch Still ATMs r nt wrking Cash Machine may reduce burden
61, Axis bank is unable to take a request fir replace debit card My debit card is block from last Poor customer supp
62, were sorry about the bad experience you had at our Thanks for
63, please visit to know more about
64, RT it should not take weeks for a corp debit master card and irresponsible and acct manager offers no suppor
65, we apologise for any inconvenience caused to Thanks for bringing this to our
66, sonepat branch people r waiting outside on road no cooperation by staff giving priorities to their corporate coustmers
67, here it is
68, please share the details at for us to assist
69, and more than people are standing in the que at the varachha road
70, Finally got application reference after multiple calls to multiple Application
71, he he its business as most axis bank atms are deserted and non functional even on normal days
72, Stuck abroad with pathetic Not responding via call support and email support keep on sending generic reply
73, getting promotional text messages since a couple of days I even have an account in your Can you
74, i try receive call
75, Every ATM should be operated according to our PM but the axis bank ATM in is offline from week
76, how can indians based in UK and are axis bank NRO account holders deposit and notes into their
77, sorry for the Please allow us to request you to share your
78, Tomorrow at what time your ATMs will start just declared does that mean since
79, Even after I have raised a request I pay my bill last month because I am outside India
80, kindly implement issue of tokens to the and make two separate one for exchange withdrawal cum
81, ur ATM doesnt wrk at hv no r returning after long wait in Q Chaos
82, To know more about the offer you can visit
83, un acceptable conditions of all the ATM counters in Karimganj town assam
84, This is complaint no
85, in Vadodara today but the situation remains same ATMS NOT WORKING
86, were sorry about the bad experience you had at our Thanks for bringing this to
87, Will you
88, Unfair service is given to No proper maintenance for cash People are allowed to skip the
89, problem still not resolved
90, Debit cards of axis is not working in some departmental
91, tell me about have been trying to dnt giv a flying
92, I had called ur phone banking and he said that all are I just visited a All shutters down
93, sorry for the inconvenience due to heavy traffic on withdrawals you may
94, i never request to destroyed my cheque book now i feel cheated and will close my account nd file a cheating case
95, and all Axis Bank ATMs are out of service now before
96, please look in to this on urgent basis hope someone is taking it seriously cow dunk and grasshoppers are all
97, please share your concerns via DM for us to assist
98, please write to us at for us to assist
99, I have given info on non working ATM any information
100, sorry for any inconvenience Please write to us at for us to assist
101, Debit Card not reached yet Applied on facing
102, sorry you had this experience and we want to make this We have made a note of
103, can someone plz look into this urgently
104, sorry for the Please share the screenshot of the error you are receiving at
105, sorry for the Please write to us at for us to assist
106, RT I cant activate Axis Mobile NOT tried diff networks n phones
107, Today while making transaction i receive the OTP and amount was deducted twice and neither sms alert till
108, were sorry about the bad experience you had at our Thanks for bringing this to
109, done Last complaints fetched no I have much hope this time either
110, RT no ATM started at Kolkata and and nearby Increasing Appreciate any
111, pls ask bank to accept deposits axis bank dp block Pitampura
112, Axis bank Nawada has only one counter for money deposit n fr Should open Atleast two more
113, currently we have discontinued the youth You can
114, we are sorry that you have faced the inconvenience due to Please note that
115, Contact me
116, please share the exact location of the ATM
117, please share your concerns with us and our executive will get back to
118, they opened my acct witht depositing any money nor any assistance fr Kept me waiting fr entire day
119, Thank you
120, we apologise for any inconvenience caused to Please write to
121, Well I expected any answet They alwys give the same predefined ans like mobile
122, Message from was of the greatest confidence and they were among the worst to respond for the situa
123, sorry you had this experience and we want to make this Well take this
124, sorry for the Please share the reference number which you may have received
125, Being an An axis Bank customer should I accept some Customer support till now
126, you should have to give priority to Axis Bank customers who have accounts in other bank customers are in
127, please share the details at
128, please elaborate your concerns at for us to help
129, is this compulsory to give Xerox copy of id while applying for exchange and
130, please refer the following link pertaining to your
131, Unable to use the Debit when used message is help
132, Making me run pillar to post for simple address No fun being a
133, as usual ur atm at kalyan adharwadi junction is not functioning
134, My company really did a great mistake opting your Axis Bank Meal Card instead of Pathetic service by you
135, I cnt activate Axis Mobile NOT tried differnt netwrks n phnes with registrd
136, WHY CANT I SWIPE MY CARDS it says call help desk on the
137, then what is the use of you I am a employee of the they dont allow me to go to the bank and withdraw
138, what I am Your guy tell me about your internal I would have had I known
139, at they have a senior citizens fast They are even filling their
140, any problem with Getting logged out at welcome login with app
141, thank
142, your website to register for remit is the worst and unfriendly website ever this is man use better IT
143, could you please elaborate your concerns at for us to assist
144, Why are the ATMs in Pune not working
145, ATMs are still
146, were sorry about the bad experience you had at our Thanks for
147, RT your Defence Delhi branch is helping end to get their
148, Facing cnnectivity issues in Axis Mobile Android apps working app is very Using Jio Pl
149, we are looking into your concern vide service request reference Please allow us
150, Daunting task performed by exceptional team they were polite in face of a h
151, I No cash in the one opposite to my
152, get the detail from local Ludhiana ops manager Deepak Joshi mall road Ludhiana or Nandini
153, hi received any reference number after submitting the form
154, Your Mahamayatala accepting old notes smoothly but payment side was very very enough rupee
155, sorry for the inconvenience caused and we want
156, sorry you had this experience and we want to make this Please share your concerns
157, why my account balance showing in
158, were sorry about the experience you had at our Thanks
159, what if I had an And my only money is accessible via debit which is now not
160, RT we are sorry for the bad experience and your feedback in this regard has been
161, ive sent a mail also
162, ATM on Prag Narain Road Lucknow was hardly of the time shut into the issue and
163, due to heavy traffic on withdrawals you may find some of our ATMs out of
164, even i have given my contact details of mine but this is really Would like to close my
165, sorry for the Please DM us the complete branch details for us to look into
166, to axis bank the real customer service bank
167, axis bank saying v shl nt acpt
168, recently i open an salary need internet banking what is procedure to do help
169, Internet banking transactions have been failing since Before that I did not have an
170, since we have limitation of only exchange now the procedure
171, please share your application reference number at for us to get this
172, Till what time your banks are supposed to make transections exchange of currency notes today
173, Kindly advice that when cash would be available on axis bank in Faridabad
